[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8] Undefined index: lastmodifytime 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 178 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8] Undefined index: lastmodifytime 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 178 行.
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Run ParseTemplate Behavior [ RunTime:0.024843s ]
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024900s ]
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Tag[ view_filter ] --START--
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Run ContentReplace Behavior [ RunTime:0.000586s ]
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Run TokenBuild Behavior [ RunTime:0.000483s ]
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000270s ]
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000378s ]
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001845s ]
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Tag[ view_end ] --START--
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000700s ]
[ 2015-12-21T00:50:28+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000769s ]
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Tag[ route_check ] --START--
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Run CheckRoute Behavior [ RunTime:0.001083s ]
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Tag[ route_check ] --END-- [ RunTime:0.001150s ]
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Tag[ app_begin ] --START--
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000995s ]
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001078s ]
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.011014s ]
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` LIMIT 1   [ RunTime:0.000211s ]
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | SQL: SELECT `id`,`subject`,`author`,`createtime` FROM `think_article` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000240s ]
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 110 行.
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 113 行.
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 110 行.
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 113 行.
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Tag[ view_template ] --START--
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000792s ]
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000844s ]
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | INFO: Tag[ view_parse ] --START--
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-12-21T00:50:29+08:00 ] /xxx/admin.php/Index/index/username/admin/Lib/Action/admin/Lib/Action/admin/Lib/Action/uploadAction.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
